Type,Date,Time,Uservisits,Pages,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node
ScalaSparkAggregation,2018-07-06,07:45:05,100000000,12000000,3686327142,75.064,49109122,49109122
MapRScalaSparkAggregation,2018-07-06,08:04:15,100000000,12000000,8098816000,1143.145,7084679,7084679
ScalaSparkJoin,2018-07-06,08:07:41,100000000,12000000,19197807276,78.554,244389939,244389939
MapRScalaSparkJoin,2018-07-06,08:21:07,100000000,12000000,25569468416,805.378,31748406,31748406
ScalaSparkScan,2018-07-06,08:24:36,100000000,12000000,20097928128,76.217,263693508,263693508
MapRScalaSparkScan,2018-07-06,08:47:57,100000000,12000000,24785149952,1394.194,17777403,17777403
MapRDBScanVerifier,2018-07-06,09:01:16,100000000,12000000,24788705280,791.621,31313855,31313855
ScalaSparkScanRDD,2018-07-06,09:33:34,6000000000,12000000,1205892031223,980.274,1230158130,1230158130
MapRScalaSparkScanRDD,2018-07-06,13:16:19,6000000000,12000000,1481699295232,13358.356,110919284,110919284
ScalaSparkSleep,2018-07-06,13:18:24,0,0,0,124.867,0,0
ScalaSparkSort,2018-07-06,13:20:06,0,0,32849102917,65.318,502910421,502910421
ScalaSparkTerasort,2018-07-06,13:39:13,0,0,320000000000,1005.848,318139520,318139520
ScalaSparkWordcount,2018-07-06,13:44:36,0,0,328491426987,112.991,2907235328,2907235328
ScalaSparkPagerank,2018-07-06,14:02:07,0,0,19933854201,968.942,20572804,20572804
ScalaSparkBayes,2018-07-06,14:03:47,0,0,3763302528,61.309,61382546,61382546
ScalaSparkKmeans,2018-07-06,14:10:28,0,0,40163644399,77.760,516507772,516507772
LogisticRegression,2018-07-06,14:19:16,0,0,40000622350,462.715,86447645,86447645
ALS,2018-07-06,14:41:45,0,0,19201355750,1287.540,14913211,14913211
GradientBoostingTree,2018-07-06,15:02:14,0,0,64077530,1187.662,53952,53952
RandomForest,2018-07-06,15:09:02,0,0,24000622350,358.465,66953879,66953879
